Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
MESA+ Institute,NANOLAB,"Netherlands, Enschede",,,,,,"Academic research, R&D activities, pilot production for MEMS, Photonics, Microfluidics",NANOLAB
Micron,Fab 4[41],"United States, Idaho, Boise",,,300,,,R&D,Fab 4[41]
Micron (formerly Dominion Semiconductor),Fab 6,"United States,  Virginia, Manassas",,1997,300,25,70000,"DRAM, NAND FLASH, NOR",Fab 6
Micron (formerly TECH Semiconductor),"Fab 7 (formerly TECH Semiconductor, Singapore)[42]",Singapore,,,300,,60000,NAND FLASH,Fab 7 (formerly TECH Semiconductor
Micron (formerly IM Flash)[43],Fab 10[44],Singapore,3,2011,300,25,"140,000[45]",NAND FLASH,Fab 10[44]
Micron (formerly Inotera),Fab 11[46],"Taiwan, Taoyuan",,,300,20 and under,"125,000[47]",DRAM,Fab 11[46]
Micron,Fab 13[48],Singapore,,,200,,,NOR,Fab 13[48]
Micron,,Singapore[49],,,200,,,NOR Flash,nan
Micron,Micron Semiconductor Asia,Singapore[49],,,,,,,Micron Semiconductor Asia
Micron,,"China, Xi'an[49]",,,,,,,nan
Micron (formerly Elpida Memory),"Fab 15 (formerly Elpida Memory, Hiroshima)[41][49]","Japan, Hiroshima",,,300,20 and under,100000,DRAM,Fab 15 (formerly Elpida Memory
Micron (formerly Rexchip),"Fab 16 (formerly Rexchip, Taichung)[41]","Taiwan, Taichung",,,300,30 and under,80000,"DRAM, FEOL",Fab 16 (formerly Rexchip
Micron (formerly Cando),Micron Memory Taiwan[49],"Taiwan, Taichung",,"?, 2018",300,,,"DRAM, BEOL",Micron Memory Taiwan[49]
Micron,A3,"Taiwan, Taichung[50]",,Under construction,300,,,DRAM,A3
Intel,D1B,"United States,  Oregon, Hillsboro",,1996,300,"22, 14, 10",,Microprocessors[51],D1B
Intel,D1C[52][51],"United States,  Oregon, Hillsboro",,2001,300,"22, 14, 10",,Microprocessors[51],D1C[52][51]
Intel,D1D[52][51],"United States,  Oregon, Hillsboro",,2003,300,"14, 10, 7",,Microprocessors[51],D1D[52][51]
Intel,D1X[53][51],"United States,  Oregon, Hillsboro",,2013,300,"14, 10, 7",,Microprocessors[51],D1X[53][51]
Intel,Fab 12[52][51],"United States,  Arizona, Chandler",,1996,300,"65, 22, 14",,Microprocessors & chipsets[51],Fab 12[52][51]
Intel,Fab 32[52][54],"United States,  Arizona, Chandler",3,2007,300,45,,,Fab 32[52][54]
