typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,528,NLD,Netherlands,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,8101.7,True,0.0,False,,1761231.624,1761231.624,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,554,NZL,New Zealand,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,0.234,True,0.0,False,,68.112,68.112,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,579,NOR,Norway,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,1388.0,False,0.0,False,,174629.417,174629.417,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,586,PAK,Pakistan,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,4.0,False,0.0,False,,10.479,10.479,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,591,PAN,Panama,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,1.0,False,0.0,False,,2200.537,2200.537,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,600,PRY,Paraguay,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,17.0,False,0.0,False,,6065.1,6065.1,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,604,PER,Peru,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,True,-1,,0.0,False,9.0,False,0.0,False,,6327.069,6327.069,2,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,608,PHL,Philippines,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,424.336,True,0.0,False,,2020373.208,2020373.208,4,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,616,POL,Poland,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,7782.0,False,0.0,False,,903171.845,903171.845,0,False,True
C,A,20240101,2024,52,2024,620,PRT,Portugal,X,Export,624,GNB,Guinea-Bissau,0,W00,World,H6,HS,True,8542,Electronic integrated circuits,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,,0.0,False,-1,,0.0,False,6.971,True,0.0,False,,2874.321,2874.321,4,False,True
